127.0.0.1 - - [28/Feb/2014:03:39:04 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:39:04 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 200 114
127.0.0.1 - - [28/Feb/2014:03:39:05 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 962
127.0.0.1 - - [28/Feb/2014:03:39:05 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:39:05 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:39:05 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 962
127.0.0.1 - - [28/Feb/2014:03:39:05 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:39:05 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:39:05 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 962
127.0.0.1 - - [28/Feb/2014:03:39:05 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:39:05 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:40:27 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 966
127.0.0.1 - - [28/Feb/2014:03:40:27 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:40:27 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 200 115
127.0.0.1 - - [28/Feb/2014:03:40:28 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 966
127.0.0.1 - - [28/Feb/2014:03:40:29 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:40:29 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:42:25 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 962
127.0.0.1 - - [28/Feb/2014:03:42:25 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:42:25 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 200 63
127.0.0.1 - - [28/Feb/2014:03:42:25 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 962
127.0.0.1 - - [28/Feb/2014:03:42:26 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 962
127.0.0.1 - - [28/Feb/2014:03:42:26 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:42:26 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:42:56 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 962
127.0.0.1 - - [28/Feb/2014:03:42:56 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:42:56 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 200 114
127.0.0.1 - - [28/Feb/2014:03:44:15 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 962
